"","GOterm","ParentTerm","Factor","term","bh_adjust_Up","bh_adjust_Down","bh_adjust_Biomin"
"230","GO:0006915","apoptotic process","Down, Up","apoptotic process",5.44428149734325e-44,7.96717349306257e-36,NA
"231","GO:0006935","locomotion","Down, Up","chemotaxis",2.48556958281746e-36,7.3915113964508e-37,NA
"232","GO:0006936","sensory perception of chemical stimulus","Down, Up","muscle contraction",2.3217570561631e-10,1.65895242772864e-06,NA
"233","GO:0006937","sensory perception of chemical stimulus","Down, Up","regulation of muscle contraction",4.63769725856403e-09,1.26268251747435e-06,NA
"234","GO:0006949","anatomical structure morphogenesis","Down","syncytium formation",NA,1.5353788168768e-07,NA
"235","GO:0006950","DNA repair","Down, Up, Biomin","response to stress",2.33530404559988e-210,1.55419484746785e-191,5.58353315771172e-10
"236","GO:0006952","defense response","Down, Up","defense response",2.38643054059123e-47,2.24847092262284e-47,NA
"237","GO:0006955","innate immune response","Down, Up","immune response",5.27608733124188e-60,2.73152505801358e-65,NA
"238","GO:0006959","innate immune response","Down","humoral immune response",NA,2.32659873063195e-09,NA
"239","GO:0006970","response to heat","Up","response to osmotic stress",1.74201904653261e-08,NA,NA
"240","GO:0006974","DNA repair","Down, Up","cellular response to DNA damage stimulus",3.62494084991141e-52,2.24232562003107e-42,NA
"241","GO:0006979","DNA repair","Down, Up","response to oxidative stress",6.27753017505559e-37,5.3187328542138e-31,NA
"242","GO:0006986","IRE1-mediated unfolded protein response","Down, Up","response to unfolded protein",8.02730158992577e-16,2.94810785496941e-12,NA
"243","GO:0006996","mitochondrion organization","Down, Up, Biomin","organelle organization",7.36603224093224e-253,3.94873612416911e-244,0
"244","GO:0006997","mitochondrion organization","Down, Up","nucleus organization",4.29860466287324e-11,1.50477479530127e-10,NA
"245","GO:0007005","mitochondrion organization","Down, Up","mitochondrion organization",1.31968220831522e-33,8.15531617597067e-36,NA
"246","GO:0007006","mitochondrion organization","Down, Up","mitochondrial membrane organization",1.36706467455113e-07,1.19992059049893e-08,NA
"247","GO:0007010","mitochondrion organization","Down, Up, Biomin","cytoskeleton organization",2.75807420394128e-78,2.18859777492996e-76,8.82782849050185e-08
"248","GO:0007015","actin filament organization","Down, Up","actin filament organization",3.91642538869696e-15,5.08677769644359e-20,NA
"249","GO:0007017","microtubule cytoskeleton organization","Down, Up, Biomin","microtubule-based process",1.76703070641235e-62,3.30253692715251e-50,9.96617622960544e-06
"250","GO:0007018","microtubule cytoskeleton organization","Down, Up","microtubule-based movement",6.77610236083694e-28,5.29199379008492e-21,NA
"251","GO:0007028","cytoplasm organization","Down, Up","cytoplasm organization",5.78198137753434e-07,5.71868473379419e-07,NA
"252","GO:0007029","Golgi organization","Up","endoplasmic reticulum organization",1.36915440198817e-06,NA,NA
"253","GO:0007030","Golgi organization","Down, Up","Golgi organization",4.52428903136732e-16,4.57202048553391e-12,NA
"254","GO:0007032","endosome organization","Down, Up","endosome organization",1.34962210027484e-06,1.3229836714509e-07,NA
"255","GO:0007033","mitochondrion organization","Down, Up","vacuole organization",1.57517881087703e-13,6.62672599325203e-08,NA
"256","GO:0007034","protein import into nucleus","Down, Up","vacuolar transport",1.98809034315587e-14,1.96015803184641e-08,NA
"257","GO:0007040","mitochondrion organization","Up","lysosome organization",5.4127159527415e-09,NA,NA
"258","GO:0007041","protein import into nucleus","Up","lysosomal transport",1.80477040831641e-12,NA,NA
"259","GO:0007043","synapse organization","Up","cell-cell junction assembly",1.12007172527839e-06,NA,NA
"260","GO:0007049","cell cycle","Down, Up","cell cycle",5.18167106954988e-93,5.10267590566943e-86,NA
"261","GO:0007051","microtubule cytoskeleton organization","Down, Up","spindle organization",2.09669505772368e-18,5.10381542674979e-10,NA
"262","GO:0007052","microtubule cytoskeleton organization","Down, Up","mitotic spindle organization",3.79884817392556e-13,3.70362401075856e-06,NA
"263","GO:0007059","cell cycle","Down, Up","chromosome segregation",1.44439932054285e-26,1.63304291344596e-18,NA
"264","GO:0007080","nuclear migration","Up","mitotic metaphase plate congression",5.63412520136292e-06,NA,NA
"265","GO:0007088","mitochondrion organization","Down, Up","regulation of mitotic nuclear division",4.00112029349503e-20,1.9611276146229e-09,NA
"266","GO:0007093","cell cycle","Down, Up","mitotic cell cycle checkpoint signaling",3.84665183131997e-12,7.36180870516982e-10,NA
"267","GO:0007097","nuclear migration","Up","nuclear migration",5.35129421166117e-06,NA,NA
"268","GO:0007098","microtubule cytoskeleton organization","Down, Up","centrosome cycle",1.73417152164477e-08,5.34444750342907e-08,NA
"269","GO:0007127","cell cycle","Up","meiosis I",1.94493352830315e-09,NA,NA
"270","GO:0007140","reproduction","Up","male meiotic nuclear division",3.50200870616376e-09,NA,NA
"271","GO:0007143","reproduction","Down, Up","female meiotic nuclear division",2.88942179580445e-06,6.41615226090791e-06,NA
"272","GO:0007154","intracellular receptor signaling pathway","Down, Up, Biomin","cell communication",1.17468551980703e-221,1.23854388239015e-196,0
"273","GO:0007155","cell adhesion","Down, Up, Biomin","cell adhesion",3.88013285304839e-28,9.75556744803014e-20,8.82782849050185e-08
"274","GO:0007160","cell adhesion","Up","cell-matrix adhesion",4.46563277591284e-06,NA,NA
"275","GO:0007162","cell adhesion","Down, Up","negative regulation of cell adhesion",8.17853980503479e-15,4.85638055155795e-11,NA
"276","GO:0007163","establishment or maintenance of cell polarity","Down, Up, Biomin","establishment or maintenance of cell polarity",2.46923598489495e-29,2.59086850466088e-20,7.45681143299223e-06
"277","GO:0007164","anatomical structure morphogenesis","Down, Up","establishment of tissue polarity",5.13628668023579e-09,4.89494326851362e-06,NA
"278","GO:0007165","G protein-coupled receptor signaling pathway","Down, Up, Biomin","signal transduction",2.37786684083832e-191,3.45044005863564e-163,1.14351474940747e-11
"279","GO:0007166","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up, Biomin","cell surface receptor signaling pathway",1.38591104604576e-92,1.88783493076909e-82,6.84865035586585e-06
"280","GO:0007167","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","enzyme-linked receptor protein signaling pathway",7.13998276969496e-40,4.62141072447423e-36,NA
"281","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","transmembrane receptor protein tyrosine kinase signaling pathway",1.00990028250995e-31,3.17124056603445e-26,NA
"282","GO:0007173","transmembrane receptor protein tyrosine kinase signaling pathway","Up","epidermal growth factor receptor signaling pathway",9.55164228635654e-06,NA,NA
"283","GO:0007178","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","transmembrane receptor protein serine/threonine kinase signaling pathway",2.26876485841044e-10,8.82808815129737e-10,NA
"284","GO:0007179","fibroblast growth factor receptor signaling pathway","Down, Up","transforming growth factor beta receptor signaling pathway",5.06065309909354e-07,2.99004375923959e-06,NA
"285","GO:0007186","G protein-coupled receptor signaling pathway","Down, Up","G protein-coupled receptor signaling pathway",1.18051381052963e-18,7.98120360131902e-19,NA
"286","GO:0007204","regulation of membrane potential","Down, Up","positive regulation of cytosolic calcium ion concentration",2.99983231372614e-09,3.26756276776414e-07,NA
"287","GO:0007219","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","Notch signaling pathway",5.75085136035311e-09,3.23122595685368e-12,NA
"288","GO:0007224","transmembrane receptor protein tyrosine kinase signaling pathway","Up","smoothened signaling pathway",6.30451242991424e-08,NA,NA
"289","GO:0007229","transmembrane receptor protein tyrosine kinase signaling pathway","Up","integrin-mediated signaling pathway",9.56340249913435e-06,NA,NA
"290","GO:0007254","intracellular signal transduction","Down, Up","JNK cascade",7.50579948320194e-08,5.17236692007866e-07,NA
"291","GO:0007264","intracellular signal transduction","Down, Up","small GTPase mediated signal transduction",7.0991785175712e-19,1.24847302633819e-13,NA
"292","GO:0007265","intracellular signal transduction","Down, Up","Ras protein signal transduction",3.38297794846412e-16,2.24140855235756e-12,NA
"293","GO:0007267","chemical synaptic transmission","Down, Up","cell-cell signaling",7.55062791137693e-51,8.93657974474769e-53,NA
"294","GO:0007268","chemical synaptic transmission","Down, Up","chemical synaptic transmission",5.40051391126154e-24,1.03162770754531e-29,NA
"295","GO:0007269","exocytosis","Down, Up","neurotransmitter secretion",1.60737514578839e-11,2.62577935368036e-11,NA
"296","GO:0007274","chemical synaptic transmission","Down","neuromuscular synaptic transmission",NA,5.86964075412476e-06,NA
"297","GO:0007275","cell differentiation","Down, Up, Biomin","multicellular organism development",0,0,0
"298","GO:0007276","reproduction","Down, Up, Biomin","gamete generation",2.15058147298252e-106,1.31850248374328e-98,4.54290705847293e-06
"299","GO:0007281","reproduction","Down, Up","germ cell development",1.12422729970231e-72,1.06027285189882e-73,NA
"300","GO:0007283","reproduction","Down, Up, Biomin","spermatogenesis",1.66419442811656e-43,1.50859760943409e-36,4.54290705847293e-06
"301","GO:0007286","reproduction","Down, Up","spermatid development",3.63701211731611e-15,2.10836542082128e-14,NA
"302","GO:0007292","reproduction","Down, Up","female gamete generation",1.13441216830427e-60,8.34718301323329e-63,NA
"303","GO:0007308","neuron remodeling","Down, Up","oocyte construction",3.25698482342529e-10,2.23351731928282e-11,NA
"304","GO:0007309","neuron remodeling","Down, Up","oocyte axis specification",6.84799747580801e-10,8.80140971210341e-11,NA
"305","GO:0007314","neuron remodeling","Down, Up","oocyte anterior/posterior axis specification",5.70415330071799e-07,1.93346695185356e-06,NA
"306","GO:0007338","reproduction","Up","single fertilization",1.34878554745437e-06,NA,NA
"307","GO:0007346","cell cycle","Down, Up","regulation of mitotic cell cycle",8.31247495736444e-58,3.68438299713883e-44,NA
"308","GO:0007349","anatomical structure morphogenesis","Down, Up","cellularization",2.27480535709076e-06,9.42350988421601e-09,NA
"309","GO:0007350","anterior/posterior pattern specification","Down, Up","blastoderm segmentation",8.28856309669243e-14,1.12723786059062e-16,NA
"310","GO:0007351","anterior/posterior pattern specification","Down, Up","tripartite regional subdivision",3.20894719712878e-10,1.76194020673293e-10,NA
"311","GO:0007368","anterior/posterior pattern specification","Down, Up","determination of left/right symmetry",6.02999961319029e-14,3.93977400824333e-12,NA
"312","GO:0007369","embryo development ending in birth or egg hatching","Down, Up","gastrulation",6.12671433195914e-22,2.22461315454971e-18,NA
"313","GO:0007389","anterior/posterior pattern specification","Down, Up","pattern specification process",1.49098208359951e-62,7.57938822733103e-59,NA
"314","GO:0007399","nervous system development","Down, Up, Biomin","nervous system development",2.41465456671279e-183,1.79656225680058e-163,4.37359367155759e-12
"315","GO:0007405","positive regulation of cell population proliferation","Up","neuroblast proliferation",1.57726558244548e-10,NA,NA
"316","GO:0007409","anatomical structure morphogenesis","Down, Up","axonogenesis",2.23766351966403e-38,1.22741744253774e-34,NA
"317","GO:0007411","locomotion","Down, Up","axon guidance",5.09187706856749e-29,4.5594206326951e-26,NA
"318","GO:0007416","synapse organization","Down, Up","synapse assembly",1.19029561696429e-06,3.55569520605307e-08,NA
"319","GO:0007417","nervous system development","Down, Up, Biomin","central nervous system development",6.51064223931132e-71,1.68928922793229e-67,7.20753874192697e-08
"320","GO:0007419","nervous system development","Up","ventral cord development",5.62512251385572e-06,NA,NA
"321","GO:0007420","brain development","Down, Up, Biomin","brain development",9.10551512517211e-55,6.05935771219871e-52,7.8454200422019e-06
"322","GO:0007423","vulval development","Down, Up, Biomin","sensory organ development",2.63073334263095e-62,3.07326094446991e-59,1.74471657964455e-09
"323","GO:0007492","morphogenesis of an epithelium","Up","endoderm development",1.31434700367674e-09,NA,NA
"324","GO:0007498","morphogenesis of an epithelium","Down, Up","mesoderm development",8.22517249207506e-17,1.58966783063842e-08,NA
"325","GO:0007507","nervous system development","Down, Up, Biomin","heart development",3.34051888573614e-36,2.04505099707227e-38,1.06963064389962e-08
"326","GO:0007517","muscle organ development","Down, Up","muscle organ development",9.65990122754224e-25,1.98846938209963e-22,NA
"327","GO:0007520","muscle organ development","Down","myoblast fusion",NA,4.82951492249608e-07,NA
"328","GO:0007525","muscle organ development","Down, Up","somatic muscle development",6.67523228122362e-07,1.61967449704781e-06,NA
"329","GO:0007528","synapse organization","Down, Up","neuromuscular junction development",1.90701946228012e-09,6.48748457574202e-10,NA
"330","GO:0007530","reproduction","Down","sex determination",NA,5.31106714676537e-06,NA
"331","GO:0007548","reproduction","Down, Up","sex differentiation",1.13748673495976e-32,3.52818211948509e-34,NA
"332","GO:0007568","aging","Down, Up","aging",2.64577198080868e-40,1.73286691546901e-43,NA
"333","GO:0007584","response to starvation","Down, Up","response to nutrient",1.83473532988767e-18,3.21468560404321e-15,NA
"334","GO:0007588","sensory perception of chemical stimulus","Down","excretion",NA,3.4130212890968e-07,NA
"335","GO:0007596","blood coagulation","Down, Up","blood coagulation",3.98692514823717e-12,2.17185810754256e-10,NA
"336","GO:0007599","regulation of membrane potential","Down, Up","hemostasis",1.88890621885643e-12,2.17185810754256e-10,NA
